4980-Balcony.jpg	4980-City6.jpg	Yes	Trees and lighting
4980-Balcony.jpg	4980-Downtown3.jpg	Yes	Trees and lighting 
4980-Balcony.jpg	4980-City.jpg	Yes	Trees and lighting
4980-Balcony.jpg	4980-City5.jpg	Yes	Lighting
4980-City.jpg	4980-City5.jpg	Yes	Lighting and street
4980-City.jpg	4980-Seamans2.jpg	Yes	Similar positioning
4980-City.jpg	4980-Biz.jpg	Yes	Similar architecture
4980-City.jpg	4980-City6.jpg	Yes	Similar lighting
4980-City.jpg	4980-Downtown3.jpg	Yes	Similar lighting
4980-City5.jpg	4980-Seamans2.jpg	Yes	Similar area and street
4980-City5.jpg	4980-City6.jpg	Yes	Similar lighting
4980-City5.jpg	4980-Downtown3.jpg	Yes	Trees and lighting appears same
4980-Football.jpg	4980-eng.jpg	Yes	Appears to be the outside of a sports stadium
4980-IATL.jpg	4980-MF-Outer.jpg	Yes	Similar railings
4980-Linquistic.jpg	4980-Westside.jpg	Yes	Looks like road leading up to location
4980-Park.jpg	4980-Forest.jpg	Yes	Grass and road with different camera angle
4980-Park.jpg	4980-med.jpg	Yes	Grass and road
4980-Seamans2.jpg	4980-GradHotel.jpg	Yes	Similar street design
4980-Seamans2.jpg	4980-iowabook.jpg	Yes	Similar street design
4980-eng.jpg	4980-library.jpg	Yes	Similar lighting different camera angle
4980-Biz.jpg	4980-City5.jpg	Yes	Red brick building and trees
4980-Biz.jpg	4980-IMU.jpg	Yes	Red brick building different camera placement
4980-City2.jpg	4980-City.jpg	Yes	Neon lights
4980-Forest.jpg	4980-med.jpg	Yes	Grass and pathway placement 
4980-IMU.jpg	4980-City.jpg	Yes	Lighting and buildings
4980-MF-Outer.jpg	4980-Forest.jpg	Yes	Water and grass
4980-MF-Outer.jpg	4980-River.jpg	Yes	Water and grass
4980-River.jpg	4980-Staples.jpg	Yes	Water and greenery landscape
4980-Staples.jpg	4980-Forest.jpg	Yes	Landscape 
4980-Staples.jpg	4980-MF-Outer.jpg	Yes	Landscape
4980-epp.jpg	4980-Seamans2.jpg	Yes	Street and trees
4980-library.jpg	4980-City6.jpg	Yes	Dim lighting and streets
4980-Bridge.jpg	4980-library.jpg	Yes	Dim lighting 
4980-City4.jpg	4980-City.jpg	Yes	Red brick building and street
4980-City4.jpg	4980-City5.jpg	Yes	Red brick building and street planning
4980-Downtown3.jpg	4980-City6.jpg	Yes	Lighting
4980-GradHotel.jpg	4980-iowabook.jpg	Yes	Different angle of a similar spot
4980-IMU2.jpg	4980-Biz.jpg	Yes	Red brick and trees
4980-IMU2.jpg	4980-IMU.jpg	Yes	Red brick and trees
4980-Mall.jpg	4980-Seamans2.jpg	Yes	Both look like malls
4980-Seamans.jpg	4980-MF-Outer.jpg	Yes	Greenery and street placement 
4980-Seamans.jpg	4980-River.jpg	Yes	Railing and greenery
4980-Westside.jpg	4980-Park.jpg	Yes	Greenery and pathway
4980-Westside.jpg	4980-Forest.jpg	Yes	Greenery and pathway 
4980-iowabook.jpg	4980-Downtown3.jpg	Yes	Different times of day similar area
